episode,reward
1,-134.2318457708596
2,-437.05050522939706
3,-202.41365577985948
4,-120.94616858650605
5,-164.81844520470548
6,-337.7669644500727
7,-74.66982101758572
8,-114.25126887218073
9,-121.65582937154981
10,-82.24732089607335
11,-138.8709820217638
12,-93.30822147779139
13,-121.14374807961575
14,-109.93659343945542
15,-303.45246548352077
16,-241.43334079320869
17,-201.09300161592898
18,-119.57107669852564
19,-130.68563640696644
20,-135.0059203222586
21,-172.90292394676933
22,-403.56195939964266
23,-120.78604739063282
24,-75.71198692263647
25,-150.16465256712527
26,-279.5582951549387
27,-65.0298197032547
28,-191.55154908768935
29,-89.32486070916543
30,-393.63467571652774
31,-105.49290250131621
32,-221.59024519812183
33,-96.10246128788503
34,-400.7812048287041
35,-306.2321773145359
36,-425.65889108615954
37,-401.3609149697126
38,-90.95490819181755
39,-265.063611219821
40,-380.6170203180016
41,-59.09814807377016
42,-88.32298151724154
43,-217.21733639650648
44,-124.9087648526287
45,-366.94113211046215
46,-69.29849859244428
47,-122.35030056375838
48,-377.08517340861715
49,-443.39797170936373
50,-92.95650335573
51,-75.16920641652149
52,-22.790660842367117
53,-159.63110488729257
54,-307.0079592449743
55,-103.49042873836397
56,-161.3711272114001
57,-119.44460763213732
58,-50.73373956683709
59,-124.47153439400519
60,-244.97900711497985
61,-283.4694293001835
62,-382.0006814548555
63,-124.18034273601455
64,-108.79607344991693
65,-120.95312638458276
66,-116.26224758633121
67,-84.59285036271125
68,-253.26387246452867
69,-139.60008800278
70,-99.25059301838613
71,-41.2259903075491
72,-218.97566028700518
73,-72.31760485511911
74,-145.4711815911775
75,-82.747260599252
76,-106.28937339668714
77,-121.48472103059468
78,-109.86386843906902
79,-166.4199717915277
80,-367.42827846555195
81,-201.2850105697555
82,-147.89370324770567
83,-147.18243164831836
84,-127.75938950426261
85,-86.52982155324935
86,-60.97335635445535
87,-5.300781929105327
88,-430.93102870659317
89,-187.27379046754817
90,-137.65822893986956
91,-114.72536658002855
92,-55.434232205364935
93,-132.39215357115123
94,-86.76743484147676
95,-107.41788039462658
96,-35.70605094339771
97,-207.27032459597666
98,-67.89561631101043
99,-136.12689328927803
100,-89.65858104141671
101,-234.58717004959283
102,-121.67457383885635
103,-118.36129330777511
104,-114.49447893034667
105,-114.3139041966914
106,-330.3982436986146
107,-417.8854608226732
108,-99.15648396343558
109,-111.3230229213012
110,-391.77840426953253
111,-253.41075442106262
112,-487.69331707128686
113,-128.08407743899028
114,-124.1370754072901
115,-93.34168432645814
116,-133.78019786420612
117,-266.64357262856186
118,-386.303678701625
119,-457.7635840274455
120,-246.1871113306304
121,-125.08563212579148
122,-479.3278824258038
